"Year","Recruitment","model"
1964,7658.95439674115,"IID"
1965,25885.465525874,"IID"
1966,17754.8147249023,"IID"
1967,28781.9325433329,"IID"
1968,23420.842443073,"IID"
1969,26432.4997566772,"IID"
1970,23042.7675854583,"IID"
1971,13967.8714356636,"IID"
1972,11239.2922009813,"IID"
1973,24932.7526793284,"IID"
1974,18133.8153775032,"IID"
1975,15620.5834244008,"IID"
1976,12544.3215299676,"IID"
1977,13599.6554207007,"IID"
1978,25852.4383174373,"IID"
1979,61468.7141015701,"IID"
1980,29432.2213096241,"IID"
1981,33563.1418518604,"IID"
1982,18871.2809954391,"IID"
1983,51739.551199342,"IID"
1984,14292.5456220692,"IID"
1985,32627.4678741215,"IID"
1986,12738.6810459479,"IID"
1987,7326.19567132921,"IID"
1988,5699.32363466681,"IID"
1989,11814.7789109083,"IID"
1990,50177.3758663902,"IID"
1991,27168.9891923797,"IID"
1992,23501.384457854,"IID"
1993,45852.4474106301,"IID"
1994,15832.0629365618,"IID"
1995,11120.0714472525,"IID"
1996,22563.9442099617,"IID"
1997,30207.2773325699,"IID"
1998,14879.3005413565,"IID"
1999,16130.2219818571,"IID"
2000,24662.4082375543,"IID"
2001,34441.1216751475,"IID"
2002,23035.3219104654,"IID"
2003,14425.706875342,"IID"
2004,6602.4542651874,"IID"
2005,4696.05232583914,"IID"
2006,11615.3297286804,"IID"
2007,25035.0354037702,"IID"
2008,13603.4524163266,"IID"
2009,49641.6795094769,"IID"
2010,23218.0848418471,"IID"
2011,14259.303208814,"IID"
2012,12330.3813094896,"IID"
2013,43463.5733376437,"IID"
2014,49669.6089321208,"IID"
2015,21291.532036733,"IID"
2016,8156.09029174263,"IID"
2017,8248.54634673363,"IID"
2018,17093.1826935675,"IID"
2019,83104.3497161403,"IID"
2020,20774.5739913149,"IID"
2021,11096.6064547479,"IID"
2022,11004.7959295591,"IID"
2023,14997.6009208496,"IID"
2024,16747.159987356,"IID"
1964,7661.95091980558,"Random candidate-1 substitute"
1965,25894.2765023661,"Random candidate-1 substitute"
1966,17759.2524590312,"Random candidate-1 substitute"
1967,28788.1211730944,"Random candidate-1 substitute"
1968,23423.6404874307,"Random candidate-1 substitute"
1969,26434.0617622622,"Random candidate-1 substitute"
1970,23042.9950462602,"Random candidate-1 substitute"
1971,13968.0051365776,"Random candidate-1 substitute"
1972,11238.8251817525,"Random candidate-1 substitute"
1973,24929.0117358689,"Random candidate-1 substitute"
1974,18131.3006919891,"Random candidate-1 substitute"
1975,15618.8882378954,"Random candidate-1 substitute"
1976,12543.4720363541,"Random candidate-1 substitute"
1977,13598.9209423452,"Random candidate-1 substitute"
1978,25850.9697971572,"Random candidate-1 substitute"
1979,61467.5449486305,"Random candidate-1 substitute"
1980,29406.5549733699,"Random candidate-1 substitute"
1981,33568.8665267732,"Random candidate-1 substitute"
1982,18873.4313603117,"Random candidate-1 substitute"
1983,51764.7660124302,"Random candidate-1 substitute"
1984,14302.8241781639,"Random candidate-1 substitute"
1985,32616.2147103873,"Random candidate-1 substitute"
1986,12720.7431597943,"Random candidate-1 substitute"
1987,7327.20893420462,"Random candidate-1 substitute"
1988,5695.01142143792,"Random candidate-1 substitute"
1989,11817.5367810923,"Random candidate-1 substitute"
1990,50174.2875168675,"Random candidate-1 substitute"
1991,27167.2755611037,"Random candidate-1 substitute"
