"Year","Recruitment","model"
1964,7658.94907387559,"IID"
1965,25885.4553895452,"IID"
1966,17754.8073479237,"IID"
1967,28781.9188814055,"IID"
1968,23420.8349295198,"IID"
1969,26432.5010781771,"IID"
1970,23042.7767287547,"IID"
1971,13967.8780578619,"IID"
1972,11239.296232117,"IID"
1973,24932.7601577745,"IID"
1974,18133.8185124352,"IID"
1975,15620.5892426568,"IID"
1976,12544.327792252,"IID"
1977,13599.6634889135,"IID"
1978,25852.4550695618,"IID"
1979,61468.7420094131,"IID"
1980,29432.2181531819,"IID"
1981,33563.114915132,"IID"
1982,18871.2763137519,"IID"
1983,51739.5453545888,"IID"
1984,14292.5451774437,"IID"
1985,32627.4668074359,"IID"
1986,12738.6815522836,"IID"
1987,7326.19517834239,"IID"
1988,5699.32319516394,"IID"
1989,11814.7780463287,"IID"
1990,50177.3736995182,"IID"
1991,27168.9878650454,"IID"
1992,23501.3830894308,"IID"
1993,45852.4457382105,"IID"
1994,15832.0624944524,"IID"
1995,11120.0712683085,"IID"
1996,22563.9434869515,"IID"
1997,30207.2767736872,"IID"
1998,14879.3002524431,"IID"
1999,16130.2219643281,"IID"
2000,24662.4075071096,"IID"
2001,34441.1212700524,"IID"
2002,23035.3210767999,"IID"
2003,14425.7065864847,"IID"
2004,6602.45393924577,"IID"
2005,4696.05225629033,"IID"
2006,11615.3292979646,"IID"
2007,25035.0349800447,"IID"
2008,13603.4520909414,"IID"
2009,49641.6781722921,"IID"
2010,23218.0836692898,"IID"
2011,14259.302734612,"IID"
2012,12330.3806135341,"IID"
2013,43463.5726947339,"IID"
2014,49669.6064726311,"IID"
2015,21291.5314357509,"IID"
2016,8156.08932320697,"IID"
2017,8248.5458687199,"IID"
2018,17093.1800044079,"IID"
2019,83104.3381339383,"IID"
2020,20774.5739785062,"IID"
2021,11096.6116625922,"IID"
2022,11004.8022242459,"IID"
2023,14997.6300168967,"IID"
2024,16747.1699721995,"IID"
1964,7657.97481765534,"Cold pool"
1965,25881.4731055212,"Cold pool"
1966,17756.406249591,"Cold pool"
1967,28784.57797436,"Cold pool"
1968,23425.2938031361,"Cold pool"
1969,26435.3599361757,"Cold pool"
1970,23042.564050339,"Cold pool"
1971,13965.9404434549,"Cold pool"
1972,11237.7502646244,"Cold pool"
1973,24930.404972237,"Cold pool"
1974,18132.5253485715,"Cold pool"
1975,15619.0773990267,"Cold pool"
1976,12543.3104513595,"Cold pool"
1977,13599.2456350578,"Cold pool"
1978,25852.0609975391,"Cold pool"
1979,61466.8612300043,"Cold pool"
1980,29432.7417900165,"Cold pool"
1981,33564.5417736593,"Cold pool"
1982,18876.6875090568,"Cold pool"
1983,51731.5039311516,"Cold pool"
1984,14296.6996355387,"Cold pool"
1985,32629.1256092712,"Cold pool"
1986,12747.1417035674,"Cold pool"
1987,7319.32545080322,"Cold pool"
1988,5701.22349850512,"Cold pool"
1989,11809.7351778074,"Cold pool"
1990,50174.842083578,"Cold pool"
1991,27167.7097493792,"Cold pool"
1992,23504.5280857202,"Cold pool"
1993,45848.5804567371,"Cold pool"
1994,15836.3827513766,"Cold pool"
1995,11124.7514791592,"Cold pool"
1996,22560.2545609621,"Cold pool"
