"Year","Recruitment","model"
1964,7658.93944489509,"IID"
1965,25885.4241957956,"IID"
1966,17754.7875855454,"IID"
1967,28781.900768514,"IID"
1968,23420.835278004,"IID"
1969,26432.5006040878,"IID"
1970,23042.7742348801,"IID"
1971,13967.879867998,"IID"
1972,11239.3017044155,"IID"
1973,24932.7781064595,"IID"
1974,18133.825857723,"IID"
1975,15620.5959698555,"IID"
1976,12544.3348708415,"IID"
1977,13599.671958963,"IID"
1978,25852.4723587439,"IID"
1979,61468.7729048871,"IID"
1980,29432.2159837131,"IID"
1981,33563.0888214216,"IID"
1982,18871.2720275655,"IID"
1983,51739.5404303099,"IID"
1984,14292.5442095614,"IID"
1985,32627.4666920478,"IID"
1986,12738.6802801212,"IID"
1987,7326.19536554245,"IID"
1988,5699.323007168,"IID"
1989,11814.7778975979,"IID"
1990,50177.3735176061,"IID"
1991,27168.9877154338,"IID"
1992,23501.3834838946,"IID"
1993,45852.4456226118,"IID"
1994,15832.0623091107,"IID"
1995,11120.0711505266,"IID"
1996,22563.9432869119,"IID"
1997,30207.2768967684,"IID"
1998,14879.3000802437,"IID"
1999,16130.2217650371,"IID"
2000,24662.4075687559,"IID"
2001,34441.1217522512,"IID"
2002,23035.321678383,"IID"
2003,14425.7066982366,"IID"
2004,6602.45407027424,"IID"
2005,4696.0522981327,"IID"
2006,11615.3296556362,"IID"
2007,25035.034823301,"IID"
2008,13603.4522192275,"IID"
2009,49641.6788197858,"IID"
2010,23218.0838843768,"IID"
2011,14259.3023891834,"IID"
2012,12330.3804251911,"IID"
2013,43463.5719464602,"IID"
2014,49669.6059633131,"IID"
2015,21291.5308014646,"IID"
2016,8156.08886313381,"IID"
2017,8248.54518795074,"IID"
2018,17093.1783938528,"IID"
2019,83104.3365037442,"IID"
2020,20774.5745803993,"IID"
2021,11096.6111982111,"IID"
2022,11004.8001065189,"IID"
2023,14997.6261172249,"IID"
2024,16747.166380596,"IID"
1964,7672.82309525408,"Random candidate-1 substitute"
1965,25941.6979380306,"Random candidate-1 substitute"
1966,17780.3396050866,"Random candidate-1 substitute"
1967,28824.4334846065,"Random candidate-1 substitute"
1968,23439.4539676538,"Random candidate-1 substitute"
1969,26444.9828566232,"Random candidate-1 substitute"
1970,23044.924369486,"Random candidate-1 substitute"
1971,13965.3140842854,"Random candidate-1 substitute"
1972,11232.4385164696,"Random candidate-1 substitute"
1973,24909.8527236358,"Random candidate-1 substitute"
1974,18116.66098692,"Random candidate-1 substitute"
1975,15608.6060524862,"Random candidate-1 substitute"
1976,12537.9086293518,"Random candidate-1 substitute"
1977,13594.6335905361,"Random candidate-1 substitute"
1978,25846.8291703203,"Random candidate-1 substitute"
1979,61458.1947951188,"Random candidate-1 substitute"
1980,29422.554237664,"Random candidate-1 substitute"
1981,33553.2212900242,"Random candidate-1 substitute"
1982,18790.248189473,"Random candidate-1 substitute"
1983,51743.4862249333,"Random candidate-1 substitute"
1984,14297.784034697,"Random candidate-1 substitute"
1985,32671.9544987423,"Random candidate-1 substitute"
1986,12760.705799901,"Random candidate-1 substitute"
1987,7312.41964405538,"Random candidate-1 substitute"
1988,5674.0018729406,"Random candidate-1 substitute"
1989,11817.5246940208,"Random candidate-1 substitute"
1990,50160.833300698,"Random candidate-1 substitute"
1991,27174.6992244224,"Random candidate-1 substitute"
1992,23491.3043996795,"Random candidate-1 substitute"
1993,45844.9821735598,"Random candidate-1 substitute"
1994,15846.4062323292,"Random candidate-1 substitute"
1995,11126.7454919146,"Random candidate-1 substitute"
1996,22554.6951339935,"Random candidate-1 substitute"
1997,30222.3312807192,"Random candidate-1 substitute"
1998,14884.4108196367,"Random candidate-1 substitute"
1999,16115.9817021379,"Random candidate-1 substitute"
2000,24651.9870466668,"Random candidate-1 substitute"
2001,34450.1505119508,"Random candidate-1 substitute"
2002,23054.2339406156,"Random candidate-1 substitute"
2003,14434.1748832122,"Random candidate-1 substitute"
