"Year","Recruitment","model"
1964,7658.96911031458,"IID"
1965,25885.5046989738,"IID"
1966,17754.8292849433,"IID"
1967,28781.9379269314,"IID"
1968,23420.8477774196,"IID"
1969,26432.515905968,"IID"
1970,23042.7855133008,"IID"
1971,13967.8783574556,"IID"
1972,11239.2907907757,"IID"
1973,24932.7295006137,"IID"
1974,18133.8014486808,"IID"
1975,15620.575940899,"IID"
1976,12544.3173375273,"IID"
1977,13599.650746882,"IID"
1978,25852.4301980445,"IID"
1979,61468.7023790829,"IID"
1980,29432.2219905015,"IID"
1981,33563.1497019351,"IID"
1982,18871.2817874971,"IID"
1983,51739.5510543415,"IID"
1984,14292.5462426144,"IID"
1985,32627.4667848167,"IID"
1986,12738.6811906919,"IID"
1987,7326.19536354742,"IID"
1988,5699.32331616241,"IID"
1989,11814.77799636,"IID"
1990,50177.3731551119,"IID"
1991,27168.9867638586,"IID"
1992,23501.381991296,"IID"
1993,45852.4449122271,"IID"
1994,15832.061440034,"IID"
1995,11120.0712923793,"IID"
1996,22563.9432091365,"IID"
1997,30207.2758897727,"IID"
1998,14879.300366157,"IID"
1999,16130.2218513007,"IID"
2000,24662.4068822384,"IID"
2001,34441.1214767528,"IID"
2002,23035.3206678073,"IID"
2003,14425.7063141207,"IID"
2004,6602.4537296727,"IID"
2005,4696.05242547891,"IID"
2006,11615.3295988582,"IID"
2007,25035.0349938194,"IID"
2008,13603.4518454568,"IID"
2009,49641.676885182,"IID"
2010,23218.0826652432,"IID"
2011,14259.3024985073,"IID"
2012,12330.3803463613,"IID"
2013,43463.5728016245,"IID"
2014,49669.6050168636,"IID"
2015,21291.5320953424,"IID"
2016,8156.08978064633,"IID"
2017,8248.54725388042,"IID"
2018,17093.180282429,"IID"
2019,83104.3432567161,"IID"
2020,20774.577592331,"IID"
2021,11096.6171697752,"IID"
2022,11004.8100631714,"IID"
2023,14997.6513249151,"IID"
2024,16747.1900607441,"IID"
1964,4565.72397369133,"Arrowtooth overlap"
1965,19175.8657035529,"Arrowtooth overlap"
1966,14167.2684079056,"Arrowtooth overlap"
1967,25524.4882365495,"Arrowtooth overlap"
1968,22454.5753443874,"Arrowtooth overlap"
1969,26584.9105041199,"Arrowtooth overlap"
1970,23744.676531639,"Arrowtooth overlap"
1971,14739.7130353166,"Arrowtooth overlap"
1972,12169.2190495955,"Arrowtooth overlap"
1973,26818.4286651973,"Arrowtooth overlap"
1974,19615.6364092243,"Arrowtooth overlap"
1975,16881.9872338364,"Arrowtooth overlap"
1976,13328.2729640632,"Arrowtooth overlap"
1977,14195.6193041637,"Arrowtooth overlap"
1978,26308.0036837798,"Arrowtooth overlap"
1979,61790.7983614358,"Arrowtooth overlap"
1980,29687.5668932084,"Arrowtooth overlap"
1981,33812.5193800953,"Arrowtooth overlap"
1982,19125.2202717607,"Arrowtooth overlap"
1983,51735.7013388527,"Arrowtooth overlap"
1984,14455.6420480813,"Arrowtooth overlap"
1985,32601.5396841565,"Arrowtooth overlap"
1986,12838.5922910318,"Arrowtooth overlap"
1987,7388.71343670508,"Arrowtooth overlap"
1988,5804.18091576586,"Arrowtooth overlap"
1989,11875.2757223814,"Arrowtooth overlap"
1990,50224.8128354214,"Arrowtooth overlap"
1991,27242.0379372625,"Arrowtooth overlap"
1992,23577.6765380163,"Arrowtooth overlap"
1993,45870.097592627,"Arrowtooth overlap"
1994,15871.182397339,"Arrowtooth overlap"
1995,11170.3351286843,"Arrowtooth overlap"
1996,22564.1293033172,"Arrowtooth overlap"
1997,30226.5933628448,"Arrowtooth overlap"
1998,14894.5394478508,"Arrowtooth overlap"
1999,16175.3756701643,"Arrowtooth overlap"
2000,24688.6494700801,"Arrowtooth overlap"
2001,34446.3182452097,"Arrowtooth overlap"
2002,23049.8286519333,"Arrowtooth overlap"
2003,14424.0408026953,"Arrowtooth overlap"
2004,6612.42318403978,"Arrowtooth overlap"
2005,4699.56446933217,"Arrowtooth overlap"
2006,11630.3444764267,"Arrowtooth overlap"
2007,25057.0625734797,"Arrowtooth overlap"
2008,13640.0811506768,"Arrowtooth overlap"
2009,49685.7266768627,"Arrowtooth overlap"
2010,23240.5956353935,"Arrowtooth overlap"
2011,14262.7807656979,"Arrowtooth overlap"
2012,12355.8442571065,"Arrowtooth overlap"
2013,43434.4257688279,"Arrowtooth overlap"
2014,49562.4576294819,"Arrowtooth overlap"
2015,21188.6561649529,"Arrowtooth overlap"
2016,8038.14253357218,"Arrowtooth overlap"
2017,8102.99252601524,"Arrowtooth overlap"
2018,16475.2220987998,"Arrowtooth overlap"
2019,80037.5512316622,"Arrowtooth overlap"
2020,19789.03829178,"Arrowtooth overlap"
2021,10611.4478566343,"Arrowtooth overlap"
2022,10656.8441918351,"Arrowtooth overlap"
2023,14500.3645065098,"Arrowtooth overlap"
2024,15789.3932876883,"Arrowtooth overlap"
1964,4485.38508308555,"Adult-pollock overlap"
1965,18887.093752566,"Adult-pollock overlap"
1966,14194.7443662859,"Adult-pollock overlap"
1967,25533.7413537961,"Adult-pollock overlap"
1968,22618.126061566,"Adult-pollock overlap"
1969,26700.8477429045,"Adult-pollock overlap"
1970,23810.0183926256,"Adult-pollock overlap"
1971,14825.4267295674,"Adult-pollock overlap"
1972,12241.0069924896,"Adult-pollock overlap"
1973,26773.4611500574,"Adult-pollock overlap"
1974,19630.3466606079,"Adult-pollock overlap"
1975,16908.1743932359,"Adult-pollock overlap"
1976,13346.0502397148,"Adult-pollock overlap"
1977,14211.1004746397,"Adult-pollock overlap"
1978,26332.7120632808,"Adult-pollock overlap"
1979,61849.3149781737,"Adult-pollock overlap"
1980,29672.6841909953,"Adult-pollock overlap"
1981,33756.9552191383,"Adult-pollock overlap"
1982,19009.0780474521,"Adult-pollock overlap"
